time,x,y,z,angle_xz,tag,color,rgb,rgb1,rgb2,rgb3,rgb4,servo_angle,occlusion,lm_score
0,0,0,0,0,N/A,darkslategray,"(77.00110375275938, 75.01993875952432, 80.3106173894467)","(122.69968598344276, 122.5893519840137, 132.3576934056523)","(29.480886741509167, 24.73738809151627, 25.677277248827625)","(119.0799314872966, 120.15929203539822, 130.74735940622324)","(37.130595424186446, 33.002131590166265, 32.911610061105584)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(80.75435418255785, 74.34776252224765, 78.04700610221205)","(116.73126911314985, 116.4822884811417, 125.65417940876657)","(44.81354642313546, 31.013064434297313, 28.39713343480467)","(115.67418450560652, 115.95795107033639, 126.53312945973497)","(46.12214611872146, 34.32014205986809, 32.04236428209031)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(79.61944552632511, 76.3491838685692, 80.89983358708352)","(117.88455988455989, 117.43059163059164, 126.47561327561327)","(38.82600574712644, 31.436063218390803, 30.52227011494253)","(116.66694595726854, 117.46795140343528, 127.50314201927105)","(45.33801446051168, 39.28712458286986, 39.334399332591765)",90,0,1.0
0,0,0,0,0,N/A,darkslategray,"(82.40464135021097, 79.69838895281933, 84.61215957038742)","(124.0379746835443, 124.73714642912955, 134.79199874980466)","(38.35552430067198, 31.563369276449446, 30.914517893420847)","(122.9709162145871, 124.19801084990958, 135.22362869198312)","(44.16787221217601, 38.184448462929474, 37.392857142857146)",90,0,1.0
0,0,0,0,0,N/A,dimgray,"(83.97362885048835, 82.80154019534184, 87.04151014274981)","(129.09473523109887, 130.37419651056015, 141.02816039179675)","(37.93893480257117, 32.97811447811448, 29.45286195286195)","(126.69923258559622, 129.06360684769777, 140.3702774498229)","(42.128984651711924, 38.709858323494686, 37.186097992916174)",90,0,1.0
0,0,0,0,0,N/A,dimgray,"(86.25133249555834, 85.20648264505785, 90.11279629067903)","(135.38651286601598, 136.97817213842058, 147.88305235137534)","(37.96571226581831, 32.72622834924002, 31.57087310003535)","(129.92227891156463, 132.53809523809525, 144.1498299319728)","(42.135162601626014, 38.94800135501355, 37.25999322493225)",90,0,1.0
0,0,0,0,0,N/A,dimgray,"(85.94175399889686, 86.0131274131274, 91.04324324324324)","(137.02539682539683, 139.57573696145124, 150.89795918367346)","(36.73560090702948, 33.47210884353741, 32.08684807256236)","(129.42685284640172, 132.20988184747583, 143.82728249194415)","(40.67798066595059, 38.848549946294305, 37.40816326530612)",90,0,1.0
0,0,0,0,0,N/A,dimgray,"(87.91869918699187, 85.8030018761726, 91.55722326454034)","(139.20132648694909, 140.5849379546427, 152.53637141634573)","(39.02824133504493, 32.322207958921695, 31.29696191698759)","(130.6510162601626, 132.92093495934958, 145.28434959349593)","(42.91382113821138, 37.448983739837395, 37.14715447154472)",90,0,1.0
0,0,0,0,0,N/A,dimgray,"(87.42262145748988, 86.3630060728745, 92.61482793522268)","(139.82165991902835, 141.99554655870446, 153.98522267206476)","(36.04028340080972, 31.27591093117409, 32.186437246963564)","(132.05425101214576, 134.7433198380567, 146.56477732793522)","(41.77429149797571, 37.43724696356275, 37.72287449392712)",90,0,1.0
0,0,0,0,0,N/A,dimgray,"(87.78951149425288, 86.45376943881001, 91.80755578093306)","(139.09264905149053, 140.952743902439, 152.17462737127371)","(35.26163967611336, 31.574224021592443, 29.606612685560055)","(135.35230352303523, 137.44173441734418, 149.56588753387533)","(41.85172064777328, 36.273448043184885, 36.361336032388664)",90,0,1.0
